"-- Please Select --","-- Selecteer a.u.b. --"
"ALT Text","ALT tekst"
"Pause Slider On Hover","Pauzeer slider bij hover"
"Please select group(s)","Selecteer a.u.b. groep(en)"
"Please select slide(s)","Selecteer a.u.b. slide(s)"
"Position","Positie"
"Random Order","Willekeurige volgorde"
"Root","Root"
"Save And Continue Edit","Opslaan en verder bewerken"
"Show Loader (progressbar)","Toon loader (progressiebar)"
"Show Navigation Arrows","Toon navigatie pijlen"
"Show On Product Pages (SKU)","Toon op product pagina's (artikelnummer)"
"Show Pagination","Toon paginatie"
"Slide Duration","Slide duur"
"Slide was saved","Slide is opgeslagen"
"Slide","Slide"
"Slider Effects","Slider effecten"
"Slider Settings","Slider instellingen"
"Slider Style","Slider stijl"
"Slider Theme","Slider thema"
"Slider Type","Slider type"
"Slides - Flexslider","Slides - Flexslider"
"Slides of this Group","Slides van deze groep"
"Smooth Height","Vloeiende hoogte"
"Sort Order","Sorteervolgorde"
"Status","Status"
"Stop Auto Slide On Navigation","Stop auto slide bij navigatie"
"Template Tag","Template tag"
"The caption is set per slide but these settings control their appearance","De omschrijving wordt ingesteld per slide maar deze instellingen bepalen het uiterlijk"
"The slide was deleted","De slide is verwijderd"
"There was no data to save","Er waren geen wijzigingen om op te slaan"
"Thumbnail Width","Thumbnail breedte"
"Title","Titel"
"Total of %d record(s) were successfully deleted","Totaal van %d record(s) zijn succesvol verwijderd"
"Total of %d record(s) were successfully updated","Totaal van %d record(s) zijn succesvol bijgewerkt"
"URL Target","URL doel"
"URL","URL"
"Unable to find group to save","Niet gelukt de groep te vinden om op te slaan"
"Use Code Inserts","Gebruik code inserts"
"Use External Image Hosting","Gebruik externe hosting"
"Video ID","Video ID"
"Visible In","Zichtbaar in"
"XML Code","XML code"
"a unique identifier that is used to inject the slide group via XML","een unieke identificatie die gebruikt wordt om een groep toe te voegen via XML"
"allow slider to scale height if slider images differ in height","sta de slider toe de hoogte aan te passen als de slides in hoogte verschillen"
"enter the video id of your YouTube or Vimeo video (not the full link)","voeg het video id van je YouTube of Vimeo video toe (niet de volledige link)"
"enter your custom css here","voeg hier je aangepaste css toe"
"in milliseconds (default is 600)","in milliseconden (standaard is 600)"
"in milliseconds (default is 7000)","in milliseconden (standaard is 7000)"
"instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail","in plaats van het uploaden van afbeeldingen kan je ook de afbeeldingen bij een externe hoster plaatsen en hier de link naar de afbeelding en thumbnail toe te voegen"
"maximum width of the slider in pixels, leave empty or 0 for full responsive width","maimale breedte van de slider in pixels, laat leeg of gebruik 0 voor volledige responsive breedte"
"set the sort order in case of multiple sliders on one page","stel te sortering in bij gebruik van meerdere sliders op dezelfde pagina"
"set the sort order of the slides as random or use the order configured in the slides","stel de sorteervolgorde willekeurig in of gebruik de volgorde zoals ingesteld in de slides"
"width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","breedte van de afbeeldingen in de carousel, zou niet breder moete zijn dan de breedte van de thumbnail uploads in de algemene instellingen (standaard is 200)"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","je kan dezelfde url gebruiken als hierboven maar voor performance redenen is het beter een aparte thumbnail met kleinere afmetingen toe te voegen, thumbnails worden gebruikt in carousels"
